item_id,canonical_type,persona_id,m3_pred,m3_solved,parse_status
acd74206-37dc-4756-94a8-b99a395d9a21,user_shared_fact_recall,0,b,False,valid
f546a74f-54de-40d0-9d88-8b0e30467d7b,preference_aligned_recommendation,0,b,False,valid
5370f186-0028-41f4-b436-c48575899fca,idea_suggestion,0,c,False,valid
a40d5f67-8ec6-480b-a901-9709eecee9b9,preference_update_reason_recall,0,a,False,valid
fd81b480-5723-43fe-9fb1-d3efa0df8e49,user_shared_fact_recall,0,d,False,valid
c8a763a5-a7ae-4047-b1cf-f17204fd1f7d,idea_suggestion,0,b,True,valid
ce9c7c39-c600-4971-9a7d-51a46e6c915c,idea_suggestion,0,a,False,valid
217481b7-ad97-45d8-988f-abb3f9cf9b34,preference_update_reason_recall,0,a,False,valid
b4812983-2c33-48ae-8955-1a19f78f7f54,user_shared_fact_recall,0,b,True,valid
c2d3daad-6d3b-4852-8830-39f830f6cd01,user_shared_fact_recall,1,d,False,valid
96589b76-f0fa-4214-a110-c6f13ef15e83,idea_suggestion,1,b,True,valid
2b3ce0bd-d0c2-48e3-8cd8-564905e9fe64,preference_aligned_recommendation,1,a,False,valid
d71b360e-da59-480b-823e-a83e8c320b9c,scenario_generalization,1,a,False,valid
7957ef21-86bb-4641-8a06-4ee2272f1c32,preference_update_reason_recall,1,d,True,valid
7a4ed201-4f7e-4d9c-a3f3-c5a2b8d424b3,user_shared_fact_recall,1,a,False,valid
32b03409-0710-4afd-89c1-9af72c339b4c,scenario_generalization,1,,False,invalid
346a304a-4371-46ac-a8f7-021f25812b52,scenario_generalization,1,a,False,valid
221c8369-8ac4-447e-a13c-6088536f9abf,preference_update_reason_recall,1,d,True,valid
4ca0a992-6743-4369-95b6-920712f8ef8b,preference_evolution_tracking,1,c,True,valid
f04613eb-8eff-4a4c-a191-d2574c87e67b,preference_evolution_tracking,1,a,False,valid
002e8df3-cebf-4197-8c16-cb834cc13aef,preference_evolution_tracking,1,a,False,valid
d90cadc8-e635-462b-8251-7f8a10734376,user_shared_fact_recall,1,c,False,valid
6c4bc600-04c0-41be-841a-a1e149edd522,preference_aligned_recommendation,1,a,False,valid
2a69f556-c093-4bc3-aa4a-a5acaaec3801,scenario_generalization,1,a,False,valid
c7c87a80-78e5-47d8-a068-2bfd244868f1,preference_update_reason_recall,1,d,False,valid
66ce550d-37a1-43e5-ab56-0b6864d8cbaf,scenario_generalization,1,d,False,valid
34e7e867-7730-4bb9-9dcf-bc5a93389b3a,scenario_generalization,1,b,False,valid
08430f6d-ada1-46a7-8f15-ddc466ba8a5b,idea_suggestion,1,d,False,valid
394bc68d-a4b3-415c-a7d9-6b367fe44e25,user_shared_fact_recall,1,c,True,valid
f7be271f-8ee6-4250-ba76-2a72e50623fc,scenario_generalization,1,c,False,valid
e3d97461-ec4b-471f-a3f3-e595fdba27e5,scenario_generalization,1,d,True,valid
9c209ff7-a6a8-48d8-ab38-e0b8aa2aaef7,user_shared_fact_recall,3,d,True,valid
945fb104-45bd-457f-a9a8-19620159e47d,preference_aligned_recommendation,3,b,False,valid
b51ec779-8dcc-4cef-860e-d9c3a6c622a6,idea_suggestion,3,c,False,valid
5547721c-f72d-41cf-bfb5-65757d11807b,preference_evolution_tracking,3,d,False,valid
a343bbd4-e356-41e0-886c-663304809410,preference_evolution_tracking,3,b,False,valid
8f6defba-992d-45f1-9a7d-dded76e6e5d5,user_shared_fact_recall,3,c,False,valid
0874afed-abd8-485c-b509-c06843a937cc,preference_aligned_recommendation,3,c,False,valid
c780b296-860d-4032-8580-154286255c00,idea_suggestion,3,c,False,valid
5b19b568-0c8f-43ac-8fdc-7f0ce67604e5,user_shared_fact_recall,3,d,True,valid
eb59980c-508c-4963-96d4-27ecf3c12b04,idea_suggestion,3,a,False,valid
53bb55a3-2ca8-4ab5-a590-f8b68f491128,user_shared_fact_recall,6,a,False,valid
fe2e91a8-fd23-4ea7-a3f1-722a0396712d,user_shared_fact_recall,6,b,False,valid
a53dba76-2124-4083-9e61-d822ce4ce096,preference_update_reason_recall,6,b,True,valid
bdeba04a-c530-4d9f-8f1c-b28ef539cd37,preference_evolution_tracking,6,d,True,valid
3e94a3d2-3b81-4e80-a013-32a6856edf72,user_shared_fact_recall,6,c,False,valid
f861c1ff-df77-47fe-98b7-aa5b4f5c50c1,user_shared_fact_recall,6,a,False,valid
93986f1c-0b49-4703-b42c-e3e03e85f66c,idea_suggestion,6,d,False,valid
6e420bd9-752a-4a98-a6a2-1ffe8df80a7f,idea_suggestion,6,d,True,valid
7aac7481-e0a2-4d04-b1ca-f921c75eaea2,preference_aligned_recommendation,6,b,False,valid
271aa33d-1ea3-4cf2-97d2-78b7d23a58cb,user_shared_fact_recall,6,a,False,valid
d0ac9ffe-0e45-43e2-8f5b-01f86f14862e,preference_aligned_recommendation,7,a,False,valid
ef58fe32-4af7-4868-b429-e0bdb1d04133,scenario_generalization,7,c,True,valid
e870342f-b57c-4469-b5b6-0b97cd3385ce,idea_suggestion,7,d,False,valid
a5f2c2cd-54d5-471b-8585-ee0470dbe7e5,user_shared_fact_recall,7,a,False,valid
fab91041-4ce8-4082-9057-208230e3b410,scenario_generalization,7,b,False,valid
125bfe37-0589-4c4e-879d-3409857a2053,user_shared_fact_recall,7,c,False,valid
fcad8bb2-fcd3-4019-bec0-b8f6c4bcd1b1,idea_suggestion,7,d,False,valid
78000568-f3a3-4cad-a923-c5b99366e4b5,scenario_generalization,7,b,False,valid
5707eaf2-da2a-4ab2-96a8-048eec7e5d06,preference_evolution_tracking,7,d,True,valid
40d94e80-9557-48dc-9101-1cc6c12486a9,preference_aligned_recommendation,7,c,False,valid
3a785b51-234f-40c5-aac9-58c3a9a47333,idea_suggestion,7,d,False,valid
e12b0c88-fa61-410f-acd7-2cfeda5a365a,user_shared_fact_recall,7,d,False,valid
384780f3-0521-4533-ac91-c02c828558ba,scenario_generalization,7,c,False,valid
09575047-a54e-42fe-a649-468917e3934b,preference_update_reason_recall,7,d,True,valid
40152bdb-d02c-4453-9129-ba27ce51bb92,scenario_generalization,7,b,False,valid
2bc21867-0902-43e7-b186-6203fc477d93,idea_suggestion,8,d,False,valid
87241969-a1c4-47d7-a4d0-3308f9ca481f,scenario_generalization,8,d,False,valid
d06f511a-0fd8-4ee0-8c35-fd3a87fd35ec,idea_suggestion,8,d,False,valid
80cae57b-3f24-444b-b39c-8fae39e7ca68,scenario_generalization,8,b,True,valid
6cacb235-3562-4414-a34d-a8ec14ee1811,preference_aligned_recommendation,8,a,False,valid
4584bcf9-fc47-4873-b0ae-5b5f804b20b8,idea_suggestion,8,d,True,valid
