item_id,persona_id,question_type,gold_key,llama_t0_pred,qwen_t0_pred,llama_t0_bucket,qwen_t0_bucket,item_default_bucket,unstable_any,parse_status
acd74206-37dc-4756-94a8-b99a395d9a21,0,user_shared_fact_recall,c,b,b,error,error,strict_default_error,,valid
f546a74f-54de-40d0-9d88-8b0e30467d7b,0,preference_aligned_recommendation,d,b,a,error,error,strict_default_error,,valid
b3588797-acdf-40d3-bcc5-951f81896f95,0,idea_suggestion,a,a,a,solved,solved,default_solved,False,valid
5370f186-0028-41f4-b436-c48575899fca,0,idea_suggestion,b,a,a,error,error,strict_default_error,,valid
a40d5f67-8ec6-480b-a901-9709eecee9b9,0,preference_update_reason_recall,d,a,a,error,error,strict_default_error,,valid
6142fba4-a233-405a-a4fe-a5b2e27374a7,0,preference_update_reason_recall,c,a,c,error,solved,loose_default_error,False,valid
2cef53ac-c165-41b5-a31f-c3064106471f,0,preference_evolution_tracking,a,a,a,solved,solved,default_solved,False,valid
4afc48ca-e6a7-4467-abd2-911915199315,0,preference_evolution_tracking,a,a,d,solved,error,loose_default_error,False,valid
defecce2-ff39-438e-ae41-90f3bcf9cb48,0,preference_evolution_tracking,b,b,b,solved,solved,default_solved,False,valid
fd81b480-5723-43fe-9fb1-d3efa0df8e49,0,user_shared_fact_recall,b,d,d,error,error,strict_default_error,,valid
60023d63-4f11-47dc-8cef-82e3ca665a68,0,preference_aligned_recommendation,a,a,a,solved,solved,default_solved,False,valid
c8a763a5-a7ae-4047-b1cf-f17204fd1f7d,0,idea_suggestion,b,a,a,error,error,strict_default_error,,valid
ce9c7c39-c600-4971-9a7d-51a46e6c915c,0,idea_suggestion,b,c,a,error,error,strict_default_error,,valid
217481b7-ad97-45d8-988f-abb3f9cf9b34,0,preference_update_reason_recall,c,a,a,error,error,strict_default_error,,valid
b4812983-2c33-48ae-8955-1a19f78f7f54,0,user_shared_fact_recall,b,a,a,error,error,strict_default_error,,valid
344ea859-e70d-48d2-8a97-7b68a104c6ae,0,preference_aligned_recommendation,a,a,a,solved,solved,default_solved,False,valid
c6d22f3d-282f-4e11-b9fd-39e2a687ef18,0,idea_suggestion,a,d,a,error,solved,loose_default_error,False,valid
c2d3daad-6d3b-4852-8830-39f830f6cd01,1,user_shared_fact_recall,b,d,d,error,error,strict_default_error,,valid
96589b76-f0fa-4214-a110-c6f13ef15e83,1,idea_suggestion,b,d,a,error,error,strict_default_error,,valid
2b3ce0bd-d0c2-48e3-8cd8-564905e9fe64,1,preference_aligned_recommendation,c,a,a,error,error,strict_default_error,,valid
b449e614-d27f-4df4-9fb2-b4726a3423d8,1,scenario_generalization,b,a,b,error,solved,loose_default_error,False,valid
3952f3c2-d810-4fd9-a461-8753406142a3,1,preference_update_reason_recall,a,a,c,solved,error,loose_default_error,True,valid
